message_id,timestamp,sender_id,text,emotion,aggression
1,2025-04-07T16:58:00+09:00,User_A,단톡방 만들었어요,부정,0
2,2025-04-07T16:58:00+09:00,User_C,안녕하세요~,긍정,0
3,2025-04-07T16:59:00+09:00,User_B,안녕하세요!,긍정,0
4,2025-04-07T17:23:00+09:00,User_D,안녕하세요,긍정,0
5,2025-04-10T12:53:00+09:00,User_C,저희 1시에 저거빼러 모이나요?,긍정,0
6,2025-04-10T12:54:00+09:00,User_B,네 그런것 같습니다,긍정,0
7,2025-04-10T13:00:00+09:00,User_A,저 지금 상담 끝나서 바로 달려가겠습니다,긍정,0
8,2025-04-10T13:00:00+09:00,User_A,죄송합니다,부정,0
9,2025-04-10T13:00:00+09:00,User_D,푸핫,부정,0
10,2025-04-10T13:00:00+09:00,User_D,그러세염,긍정,0
11,2025-04-10T13:04:00+09:00,User_D,맞운편 실험실로,긍정,1
12,2025-04-10T13:04:00+09:00,User_D,오삼요,긍정,0
13,2025-04-10T13:05:00+09:00,User_A,엇 네네,긍정,0
14,2025-04-10T13:12:00+09:00,User_D,샵검색: #사다리타기,긍정,0
15,2025-04-10T14:35:00+09:00,User_C,📸 실험 시 관찰될 수 있는 섬유 형태 예측,긍정,0
16,2025-04-10T14:35:00+09:00,User_C,에탄올은 원래 안되는거 같네요. 걱정안하셔도 될듯요,긍정,0
17,2025-04-10T14:36:00+09:00,User_B,아항 그렇군요 감사합니다!,긍정,0
18,2025-04-10T14:38:00+09:00,User_D,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,긍정,0
19,2025-04-10T14:38:00+09:00,User_A,섬유가요,긍정,0
20,2025-04-10T14:38:00+09:00,User_A,제 사물함에 보관하겠습니다,긍정,0
21,2025-04-10T14:39:00+09:00,User_D,아 User_C님 만나서 전달두렸삼,긍정,0
22,2025-04-10T14:39:00+09:00,User_C,넵 제가 받았습니다!,긍정,0
23,2025-04-10T14:39:00+09:00,User_A,아 넵 감사합니다,긍정,0
24,2025-04-10T15:14:00+09:00,User_B,저희 월요일에 실험 다시 해야 하는 거죠?,부정,0
25,2025-04-10T15:28:00+09:00,User_C,넵 자율시험이어서 에탄올 버리고 물이랑 IPA 비율맞춰서 한번 해보면 좋을거같아요,긍정,0
26,2025-04-10T16:20:00+09:00,User_B,넵 알겠습니다,긍정,0
27,2025-04-10T23:16:00+09:00,User_A,네네 그러면 토요일이나 일요일에 어떻게 실험 할지 정할까요?,긍정,0
28,2025-04-10T23:47:00+09:00,User_C,네넵 관련논문같은거 gpt 적극활용해서 여기에 공유하면 좋을거같아요,긍정,0
29,2025-04-13T13:19:00+09:00,User_C,조건 비율별로 나눠서 하고 sem찍고 이런식으로 단면 확인해보고 균일성 확인해보면 좋을거같아요,긍정,0
30,2025-04-13T13:24:00+09:00,User_A,"아마 섬유 건조 시키고 조교님이나 교수님이 단면 찍은거 따로 공유 해주실거에요 작년에 강도 측정 수업시간에 했고, 단면은 따로 주셨어요",긍정,0
31,2025-04-13T13:24:00+09:00,User_C,아 그럼 좋네요 👍👍,긍정,0
32,2025-04-13T13:24:00+09:00,User_A,이번 설계떄는 달라질수 있는데 내일이나 1차 설계 분석 시간에 하지 않을까 싶어요,긍정,0
33,2025-04-13T15:45:00+09:00,User_C,참고 논문 찾아봤어요,부정,0
34,2025-04-14T00:14:00+09:00,User_D,논문도 더 찾아볼게요!,긍정,0
35,2025-04-14T00:22:00+09:00,User_A,IPA:Water =70:30,긍정,0
36,2025-04-14T00:22:00+09:00,User_A,이 넷중에 결정할까요?,긍정,0
37,2025-04-14T00:25:00+09:00,User_C,네 좋아요,긍정,0
38,2025-04-14T00:25:00+09:00,User_C,자세한건 낼 만나서 짜볼까요?,긍정,0
39,2025-04-14T00:25:00+09:00,User_D,넵~~,긍정,0
40,2025-04-14T00:26:00+09:00,User_A,네네~,긍정,0
41,2025-04-14T00:27:00+09:00,User_C,넵 고생하셨습니당 낼 봬요~,긍정,0
42,2025-04-14T08:37:00+09:00,User_C,좀 늦을거같아요.. 죄송합니다,부정,0
43,2025-04-14T09:02:00+09:00,User_A,저까지 7명있는데;;,긍정,0
44,2025-04-14T10:33:00+09:00,User_A,실 건조기 가운데에 넣어놨어요,부정,0
45,2025-04-14T10:33:00+09:00,User_C,넵 1:30에 뺄게요,긍정,0
46,2025-04-14T10:34:00+09:00,User_A,네 감사합니다,긍정,0
47,2025-04-14T13:05:00+09:00,User_C,색별로 뭔지 알려주실수있나요?,긍정,0
48,2025-04-14T13:06:00+09:00,User_C,주기해놓게요,긍정,0
49,2025-04-14T13:09:00+09:00,User_A,IPA 100,긍정,0
50,2025-04-14T13:09:00+09:00,User_A,IPA:water=50:50,긍정,0
51,2025-04-14T13:10:00+09:00,User_A,아닐숟ㅎ 있어서 혹시 섬유 꺼낼실때,긍정,1
52,2025-04-14T13:10:00+09:00,User_A,사진 한번 찍어주실수 있나요..?,긍정,0
53,2025-04-14T13:10:00+09:00,User_A,넣을때 섞이긴 했는데 섬유 길이 보면 구분 할수 읶을거 같아요,긍정,0
54,2025-04-14T13:11:00+09:00,User_C,넵,긍정,0
