message_id,timestamp,sender_id,text,emotion,aggression
1,2025-11-12T15:09:00+09:00,User_A,다음주 수요일 : 굴러다니는.샘플 3가지 가져오기,긍정,0
2,2025-11-18T12:35:00+09:00,User_B,Knit: 샤워타올,긍정,0
3,2025-11-18T12:35:00+09:00,User_B,어떠신지요,긍정,0
4,2025-11-18T12:35:00+09:00,User_B,다른 의견도 받습니당,긍정,0
5,2025-11-18T12:41:00+09:00,User_A,아,부정,0
6,2025-11-18T12:41:00+09:00,User_A,웅웅,긍정,0
7,2025-11-18T12:41:00+09:00,User_A,조ㅗ어요,긍정,0
8,2025-11-18T12:41:00+09:00,User_A,좋아요,긍정,0
9,2025-11-18T12:41:00+09:00,User_A,방금 샤워하면서 보낼려했는데,긍정,0
10,2025-11-18T12:41:00+09:00,User_A,짱짱임,긍정,0
11,2025-11-18T12:42:00+09:00,User_C,좋아요~~,긍정,0
12,2025-11-18T16:01:00+09:00,User_C,그럼 샤워 샤월하고 붕대 사면 되는거죠?,긍정,0
13,2025-11-18T16:02:00+09:00,User_A,네네네,긍정,0
14,2025-11-18T16:02:00+09:00,User_A,샤워 샤월 ㅋㅋㅋㅎㅋ,긍정,0
15,2025-11-18T16:02:00+09:00,User_A,두개맘 사면 될듯!,긍정,1
16,2025-11-18T16:03:00+09:00,User_C,오키~,긍정,0
17,2025-11-18T16:03:00+09:00,User_A,마스크는 내가 챙길게,긍정,0
18,2025-11-18T16:04:00+09:00,User_A,이거몀 되겠지,긍정,1
19,2025-11-18T16:41:00+09:00,User_C,뭐사지..,긍정,0
20,2025-11-18T16:41:00+09:00,User_A,파란색..?,부정,0
21,2025-11-18T16:42:00+09:00,User_A,제일 단순해 보이는거,긍정,0
22,2025-11-18T16:42:00+09:00,User_A,저거 근데 knit  맞겠지,긍정,0
23,2025-11-18T16:55:00+09:00,User_B,gma,긍정,0
24,2025-11-18T16:55:00+09:00,User_B,흠,부정,0
25,2025-11-18T16:55:00+09:00,User_B,다른거 할까,부정,0
26,2025-11-18T16:55:00+09:00,User_B,다이소에 니트류,부정,0
27,2025-11-18T16:55:00+09:00,User_B,뭐있나,부정,0
28,2025-11-18T16:56:00+09:00,User_A,장갑..?,부정,0
29,2025-11-18T16:56:00+09:00,User_A,수면양말..?,부정,0
30,2025-11-18T16:59:00+09:00,User_B,오,긍정,0
31,2025-11-18T16:59:00+09:00,User_B,수면양말 어때,긍정,0
32,2025-11-18T16:59:00+09:00,User_C,어...어캐,부정,1
33,2025-11-18T16:59:00+09:00,User_C,나 지금 왔어...,긍정,0
34,2025-11-18T16:59:00+09:00,User_A,집?,긍정,0
35,2025-11-18T16:59:00+09:00,User_C,아니,부정,0
36,2025-11-18T16:59:00+09:00,User_C,다이소,부정,0
37,2025-11-18T16:59:00+09:00,User_A,아아,부정,0
38,2025-11-18T17:00:00+09:00,User_A,수면양말 니트 맛겠지,긍정,1
39,2025-11-18T17:00:00+09:00,User_A,맞겠지,긍정,0
40,2025-11-18T17:01:00+09:00,User_A,수면양말로,긍정,0
41,2025-11-18T17:01:00+09:00,User_A,합시다잉,긍정,0
42,2025-11-18T21:01:00+09:00,User_C,ㅇㅋㅇㅋ,긍정,0
43,2025-11-19T14:58:00+09:00,User_C,7조,부정,0
44,2025-11-19T15:46:00+09:00,User_C,샵검색: #돌림판,긍정,0
45,2025-11-22T19:01:00+09:00,User_A,줌 회의 시작할깝쇼?,긍정,0
46,2025-11-22T19:02:00+09:00,User_B,넹,긍정,0
47,2025-11-22T19:03:00+09:00,User_A,[링크],긍정,0
48,2025-11-22T19:03:00+09:00,User_A,내가 만들게요,긍정,0
49,2025-11-22T19:07:00+09:00,User_A,1. “헤어드라이어 바람 저항”,부정,0
50,2025-11-22T19:10:00+09:00,User_C,"1. 문 사이에 두고 여는 각도를 통일해서 늘어나는 정도 측정, 2. 시편 위에 물풍선을 올려서 양을 늘려가면서 강도 측정",긍정,0
51,2025-11-22T19:20:00+09:00,User_A,1. 창문 이용 SS 곡선 실험,긍정,0
52,2025-11-22T19:22:00+09:00,User_C,뚜껑 실험,긍정,0
53,2025-11-24T21:32:00+09:00,User_A,근데 우리 물풍선 있나,긍정,0
54,2025-11-24T21:32:00+09:00,User_A,물풍선 편이점에서 파나,긍정,0
55,2025-11-24T21:46:00+09:00,User_A,단곰에서 팔듯~,부정,2
56,2025-11-24T21:46:00+09:00,User_A,아니 단곰 말고 그 학교 문방구,긍정,1
57,2025-11-24T22:09:00+09:00,User_C,우리 풍선 오ㅐ 필요했지?,긍정,0
58,2025-11-24T22:09:00+09:00,User_A,언니 실험,부정,0
59,2025-11-24T22:09:00+09:00,User_A,아!,부정,0
60,2025-11-24T22:09:00+09:00,User_A,아하하~,긍정,0
61,2025-11-24T22:09:00+09:00,User_A,실수~~~,긍정,0
62,2025-11-24T22:09:00+09:00,User_A,잘못 생각해버렸네,부정,0
63,2025-11-24T22:10:00+09:00,User_A,뚜껑 실험이었는데,긍정,0
64,2025-11-24T22:10:00+09:00,User_A,제송합니다요,부정,0
65,2025-11-24T23:04:00+09:00,User_B,푸핫,부정,0
66,2025-11-24T23:05:00+09:00,User_B,드라이기는,부정,0
67,2025-11-24T23:05:00+09:00,User_B,어캄묘..?,부정,1
68,2025-11-24T23:05:00+09:00,User_A,아,부정,0
69,2025-11-24T23:05:00+09:00,User_B,가져가??,부정,0
70,2025-11-24T23:05:00+09:00,User_A,근데,긍정,0
71,2025-11-24T23:05:00+09:00,User_A,드라이기,긍정,0
72,2025-11-24T23:05:00+09:00,User_B,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,긍정,0
73,2025-11-24T23:05:00+09:00,User_A,안하는거,긍정,0
74,2025-11-24T23:05:00+09:00,User_A,아니였삼?,긍정,0
75,2025-11-24T23:05:00+09:00,User_A,하면,긍정,0
76,2025-11-24T23:05:00+09:00,User_B,초콜릿,긍정,0
77,2025-11-24T23:05:00+09:00,User_A,초코릿,긍정,0
78,2025-11-24T23:05:00+09:00,User_B,녹이기,부정,0
79,2025-11-24T23:05:00+09:00,User_A,아,부정,0
80,2025-11-24T23:05:00+09:00,User_A,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,긍정,0
81,2025-11-24T23:05:00+09:00,User_A,드라이기,긍정,0
82,2025-11-24T23:05:00+09:00,User_B,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,긍정,0
83,2025-11-24T23:05:00+09:00,User_B,너 입김으로,부정,0
84,2025-11-24T23:05:00+09:00,User_B,하든가,긍정,0
85,2025-11-24T23:05:00+09:00,User_A,낼 챙겨가 듦?,긍정,0
86,2025-11-24T23:05:00+09:00,User_A,드림?,긍정,0
87,2025-11-24T23:05:00+09:00,User_A,아님 언니가 본가에서,긍정,0
88,2025-11-24T23:05:00+09:00,User_A,챙겨오셈,긍정,0
89,2025-11-24T23:05:00+09:00,User_A,~~~~~,긍정,0
90,2025-11-24T23:05:00+09:00,User_A,푸핫,부정,0
91,2025-11-24T23:06:00+09:00,User_B,드라이기...부탁티비...........,긍정,0
92,2025-11-24T23:06:00+09:00,User_A,"낼 머리 말리고 꼭 챙겨야 겠다,,,",긍정,0
93,2025-11-24T23:06:00+09:00,User_B,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,긍정,0
94,2025-11-24T23:06:00+09:00,User_A,낼 한번더 10시 반에 말해 주셈...,긍정,0
95,2025-11-24T23:06:00+09:00,User_B,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,긍정,0
96,2025-11-24T23:06:00+09:00,User_B,예약메시지 해놔야지,긍정,0
97,2025-11-24T23:07:00+09:00,User_A,오오오 굳굳,긍정,0
98,2025-11-24T23:07:00+09:00,User_A,11시에 만나는거 맞지?,긍정,0
99,2025-11-24T23:07:00+09:00,User_B,웅,긍정,0
100,2025-11-24T23:07:00+09:00,User_A,초콜릿은 있긴 한데 안에 땅콩 카라멜 들어있음,부정,0
101,2025-11-24T23:07:00+09:00,User_B,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,긍정,0
102,2025-11-24T23:07:00+09:00,User_B,그건 그냥 맛있는 초콜릿 자랑이잖아,긍정,0
103,2025-11-24T23:07:00+09:00,User_B,!!,긍정,0
104,2025-11-24T23:07:00+09:00,User_A,"써도 되긴 하는데,,,",긍정,0
105,2025-11-24T23:08:00+09:00,User_B,안에 아무것도 없는걸로 해야될듯..???,부정,0
106,2025-11-24T23:08:00+09:00,User_A,오케이~~,긍정,0
107,2025-11-24T23:10:00+09:00,User_B,가나 초콜릿으로다가,긍정,0
108,2025-11-24T23:10:00+09:00,User_B,준비해가겠삼,긍정,0
109,2025-11-24T23:11:00+09:00,User_A,오케이~,긍정,0
110,2025-11-25T10:30:00+09:00,User_B,드라이기 챙기셈,긍정,0
111,2025-11-25T10:30:00+09:00,User_A,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,부정,0
112,2025-11-25T10:30:00+09:00,User_A,예약 에바ㅔ,부정,0
113,2025-11-25T10:42:00+09:00,User_B,ㅋㅋㅋᩚㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아,부정,1
114,2025-11-25T10:42:00+09:00,User_B,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,긍정,0
115,2025-11-25T10:42:00+09:00,User_B,개읏김,긍정,1
116,2025-11-25T10:47:00+09:00,User_A,아 미칮,긍정,1
117,2025-11-25T10:48:00+09:00,User_A,챙겨놓고 쇼팡백 두고옴...,부정,0
118,2025-11-25T10:49:00+09:00,User_B,아,부정,0
119,2025-11-25T10:49:00+09:00,User_B,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,긍정,0
120,2025-11-25T10:49:00+09:00,User_B,아놔,부정,0
121,2025-11-25T10:49:00+09:00,User_B,쩔수없쥐,부정,1
122,2025-11-25T10:49:00+09:00,User_A,다시 가는중...,긍정,0
123,2025-11-25T10:49:00+09:00,User_B,시간 가능?!,긍정,0
124,2025-11-25T10:58:00+09:00,User_C,정말 죄송한데 지금 바로 나갈께요,긍정,0
125,2025-11-25T11:07:00+09:00,User_A,오디심,긍정,1
126,2025-11-25T11:07:00+09:00,User_B,실험싳티비,부정,1
127,2025-11-25T12:00:00+09:00,User_A,우리 5층 강의실에사,긍정,0
128,2025-11-25T12:00:00+09:00,User_A,문 실험 할게요,부정,0
129,2025-11-25T12:04:00+09:00,User_A,언니 혹시 다 끝나서 올라오면,긍정,0
130,2025-11-25T12:05:00+09:00,User_A,올라올때 유븐 시편 하나만 들고와줘 ㅠ,부정,0
131,2025-11-25T12:37:00+09:00,User_A,옷 소재 : 폴리에스테르,긍정,0
132,2025-11-25T12:40:00+09:00,User_A,Woven : 면사,부정,0
133,2025-11-25T13:20:00+09:00,User_A,종설 언제 끝나,긍정,0
134,2025-11-25T14:12:00+09:00,User_B,오늘 마지막날이라 오래걸린다,긍정,0
135,2025-11-25T14:12:00+09:00,User_B,ㅜㅡㅠ,긍정,0
136,2025-11-25T14:24:00+09:00,User_A,개찮쇼,긍정,1
137,2025-11-25T14:24:00+09:00,User_A,끝나면 알려줘ㅔ,긍정,0
138,2025-11-25T14:24:00+09:00,User_B,아직도 한 팀 남음,긍정,0
139,2025-11-25T14:25:00+09:00,User_A,헐~~,부정,0
140,2025-11-25T14:25:00+09:00,User_A,나 505?,긍정,0
141,2025-11-25T14:25:00+09:00,User_A,에 있어,긍정,0
142,2025-11-25T14:25:00+09:00,User_A,그 엘베쪽,부정,0
143,2025-11-25T15:38:00+09:00,User_A,나,긍정,0
144,2025-11-25T15:38:00+09:00,User_A,6-7시에 올라갈려고 하는데,긍정,0
145,2025-11-25T15:38:00+09:00,User_A,그쯤에 괜찮으면 그때 실험 마무리 할까?,긍정,0
146,2025-11-25T15:39:00+09:00,User_B,구래요,긍정,0
147,2025-11-25T15:39:00+09:00,User_A,감사합니다~,긍정,0
148,2025-11-25T17:57:00+09:00,User_A,혹시 6시 20분 다들 괜찮어?,긍정,0
149,2025-11-25T18:03:00+09:00,User_B,얍,긍정,0
150,2025-11-25T18:04:00+09:00,User_A,오케이,긍정,0
151,2025-11-25T18:10:00+09:00,User_C,6시 20분에 다 올라가는거?,부정,0
152,2025-11-25T18:13:00+09:00,User_B,내가 초콜릿 3개 들고 가겠삼,긍정,0
153,2025-11-25T18:17:00+09:00,User_A,오,긍정,0
154,2025-11-25T18:17:00+09:00,User_A,3층에서 ? 만나?,부정,0
155,2025-11-25T18:17:00+09:00,User_A,싱험실,부정,0
156,2025-11-25T18:20:00+09:00,User_A,나 실험실 도착띠,긍정,0
